date,time,type,media_url,caption,hashtags,status
2026-07-10,00:00,post,https://college.itools.cl/ig/college-post1-presentacion.jpg,"¿Y si el tiempo de pantalla de tus hijos sirviera para aprender? 🎮📚

College iTools es la plataforma donde niños de 3° a 8° básico repasan el currículum MINEDUC jugando, directo desde el celular y sin instalar nada.

👉 Menos peleas por el celular, más aprendizaje real.

¿Cuánto tiempo pasan tus hijos frente a la pantalla al día? Cuéntanos 👇",#collegeitools #educación #aprendizaje #MINEDUC #apoderados #educaciónchile #tiempodepantalla #aprenderjugando #padres #profesores #edtech #colegio,published:18024475541674254
2026-07-22,19:30,post,PENDIENTE_URL_PUBLICA,"¿Sabías que 15 minutos al día jugando pueden reforzar matemáticas de básica? 🎮📐

En College iTools los ejercicios siguen el currículum MINEDUC de cada curso, así que lo que tu hijo repasa jugando es exactamente lo que ve en el colegio.

¿Qué ramo le cuesta más a tu hijo? Cuéntanos 👇",#collegeitools #educación #MINEDUC #aprenderjugando #educaciónchile #edtech #apoderados #padres #colegio,draft
2026-07-24,20:00,reel,PENDIENTE_URL_PUBLICA,"La pelea de todos los días: '5 minutos más de celular' 😤

VS.

15 minutos repasando lenguaje o matemáticas jugando en College iTools 🎮📚

Mismo celular, resultado distinto.",#collegeitools #tiempodepantalla #apoderados #aprenderjugando #MINEDUC #crianza #edtech,draft
2026-07-25,11:00,carousel,PENDIENTE_URL_PUBLICA_1|PENDIENTE_URL_PUBLICA_2|PENDIENTE_URL_PUBLICA_3,"5 señales de que tu hijo necesita reforzar una materia (desliza 👉)

1. Evita hacer la tarea de ese ramo
2. Le cuesta explicar lo que aprendió en clase
3. Baja el interés justo antes de las pruebas
4. Pide ayuda para lo mismo una y otra vez
5. Se frustra rápido al estudiar solo

Si marcaste 2 o más, en College iTools puede repasar ese ramo jugando 15 min al día.",#collegeitools #MINEDUC #apoderados #aprenderjugando #educaciónchile #tips #colegio,draft
2026-07-27,19:30,post,PENDIENTE_URL_PUBLICA,"Tip para apoderados: convierte la tarea en una rutina, no en una pelea 🙌

1. Mismo horario todos los días (ayuda a que no sea una negociación diaria)
2. Empieza con lo más fácil para tomar impulso
3. Usa el celular a favor: 15 min de College iTools cuenta como repaso

¿Cuál de estos ya haces en tu casa?",#collegeitools #apoderados #padres #tiempodepantalla #educaciónchile #crianza #tips,draft
2026-07-29,20:00,post,PENDIENTE_URL_PUBLICA,"Queremos conocerte 👋

¿Qué curso está tu hijo o hija y qué ramo te gustaría que reforzáramos jugando en College iTools?

Lee los comentarios de otros apoderados, capaz que no eres el único con esa duda 👇",#collegeitools #comunidad #apoderados #educaciónchile #MINEDUC #colegio,draft
2026-08-01,11:00,reel,PENDIENTE_URL_PUBLICA,"Un día repasando antes de la prueba de la semana usando College iTools 📱✏️

Sin instalar nada, directo desde el celular, siguiendo el currículum MINEDUC del curso.",#collegeitools #MINEDUC #aprenderjugando #edtech #apoderados #educaciónchile,draft
2026-08-03,19:30,post,PENDIENTE_URL_PUBLICA,"El currículum MINEDUC no cambia, pero la forma de repasarlo sí puede ser más entretenida 🎮

En College iTools cada nivel sigue lo que tu hijo ve en el colegio, de 3° a 8° básico.

¿Ya probaste la app con tu hijo o hija? Cuéntanos cómo te fue 👇",#collegeitools #educación #MINEDUC #edtech #apoderados #colegio #educaciónchile,draft
2026-08-05,20:00,carousel,PENDIENTE_URL_PUBLICA_1|PENDIENTE_URL_PUBLICA_2,"Antes / Después 📲

Antes: 30 min de pantalla sin control, pelea al pedir que la suelte.
Después: 15 min con College iTools, repasando matemáticas o lenguaje del curso, sin pelear.

Mismo celular, mejor uso del tiempo.",#collegeitools #tiempodepantalla #apoderados #aprenderjugando #MINEDUC #crianza,draft
2026-07-23,18:00,story_photo,PENDIENTE_URL_PUBLICA,,,draft
2026-07-30,18:00,story_photo,PENDIENTE_URL_PUBLICA,,,draft
